date,regime,risk_score,vix_stress,spy_downtrend,kospi_downtrend,fx_stress,rate_stress
2019-01-31,risk_off,3,True,True,True,False,False
2019-02-28,risk_off,2,False,True,True,False,False
2019-03-31,risk_off,2,False,True,True,False,False
2019-04-30,risk_on,0,False,False,False,False,False
2019-05-31,risk_off,3,True,False,True,True,False
2019-06-30,risk_on,0,False,False,False,False,False
2019-07-31,neutral,1,False,False,True,False,False
2019-08-31,risk_off,2,True,False,True,False,False
2019-09-30,neutral,1,False,False,True,False,False
2019-10-31,neutral,1,False,False,True,False,False
2019-11-30,risk_on,0,False,False,False,False,False
2019-12-31,risk_on,0,False,False,False,False,False
2020-01-31,neutral,1,True,False,False,False,False
2020-02-29,neutral,1,True,False,False,False,False
2020-03-31,risk_off,4,True,True,True,True,False
2020-04-30,risk_off,3,True,True,True,False,False
2020-05-31,risk_off,3,True,True,True,False,False
2020-06-30,risk_off,3,True,True,True,False,False
2020-07-31,neutral,1,True,False,False,False,False
2020-08-31,neutral,1,True,False,False,False,False
2020-09-30,neutral,1,True,False,False,False,False
2020-10-31,neutral,1,True,False,False,False,False
2020-11-30,risk_on,0,False,False,False,False,False
2020-12-31,risk_on,0,False,False,False,False,False
2021-01-31,neutral,1,True,False,False,False,False
2021-02-28,neutral,1,True,False,False,False,False
2021-03-31,risk_on,0,False,False,False,False,False
2021-04-30,risk_on,0,False,False,False,False,False
2021-05-31,risk_on,0,False,False,False,False,False
2021-06-30,risk_on,0,False,False,False,False,False
2021-07-31,risk_on,0,False,False,False,False,False
2021-08-31,risk_on,0,False,False,False,False,False
2021-09-30,neutral,1,False,False,False,True,False
2021-10-31,neutral,1,False,False,True,False,False
2021-11-30,risk_off,2,True,False,True,False,False
2021-12-31,neutral,1,False,False,True,False,False
2022-01-31,neutral,1,False,False,True,False,False
2022-02-28,risk_off,3,True,True,True,False,False
2022-03-31,neutral,1,False,False,True,False,False
2022-04-30,risk_off,5,True,True,True,True,True
2022-05-31,risk_off,4,True,True,True,False,True
2022-06-30,risk_off,5,True,True,True,True,True
2022-07-31,risk_off,3,False,True,True,False,True
2022-08-31,risk_off,5,True,True,True,True,True
2022-09-30,risk_off,5,True,True,True,True,True
2022-10-31,risk_off,5,True,True,True,True,True
2022-11-30,risk_off,3,False,True,True,False,True
2022-12-31,risk_off,2,False,False,True,False,True
2023-01-31,risk_off,3,False,True,True,False,True
2023-02-28,neutral,1,False,False,True,False,False
2023-03-31,risk_on,0,False,False,False,False,False
2023-04-30,neutral,1,False,False,False,True,False
2023-05-31,neutral,1,False,False,False,False,True
2023-06-30,neutral,1,False,False,False,False,True
2023-07-31,risk_on,0,False,False,False,False,False
2023-08-31,risk_on,0,False,False,False,False,False
2023-09-30,neutral,1,False,False,True,False,False
2023-10-31,risk_off,2,False,False,True,True,False
2023-11-30,neutral,1,False,False,True,False,False
2023-12-31,risk_on,0,False,False,False,False,False
2024-01-31,neutral,1,False,False,True,False,False
2024-02-29,risk_on,0,False,False,False,False,False
2024-03-31,neutral,1,False,False,False,True,False
2024-04-30,risk_on,0,False,False,False,False,False
2024-05-31,risk_on,0,False,False,False,False,False
2024-06-30,risk_on,0,False,False,False,False,False
2024-07-31,risk_on,0,False,False,False,False,False
2024-08-31,risk_on,0,False,False,False,False,False
2024-09-30,neutral,1,False,False,True,False,False
2024-10-31,risk_off,2,True,False,True,False,False
2024-11-30,neutral,1,False,False,True,False,False
2024-12-31,risk_off,3,True,False,True,True,False
2025-01-31,neutral,1,False,False,True,False,False
2025-02-28,risk_off,2,True,False,True,False,False
2025-03-31,risk_off,3,True,True,True,False,False
2025-04-30,risk_off,2,True,True,False,False,False
2025-05-31,risk_off,2,True,True,False,False,False
2025-06-30,risk_on,0,False,False,False,False,False
2025-07-31,risk_on,0,False,False,False,False,False
2025-08-31,risk_on,0,False,False,False,False,False
2025-09-30,risk_on,0,False,False,False,False,False
2025-10-31,risk_on,0,False,False,False,False,False
2025-11-30,neutral,1,False,False,False,True,False
2025-12-31,risk_on,0,False,False,False,False,False
2026-01-31,risk_on,0,False,False,False,False,False
2026-02-28,neutral,1,True,False,False,False,False
2026-03-31,risk_off,3,True,True,False,True,False
2026-04-30,risk_on,0,False,False,False,False,False
