ticker,weight,model,name,asset_class
360750.KS,0.11599711175655271,ETF_Only_Core,TIGER 미국S&P500,us_equity_krx
153130.KS,0.11359574459836623,ETF_Only_Core,KODEX 단기채권,cash_krw
458730.KS,0.09982910699544491,ETF_Only_Core,TIGER 미국배당다우존스,us_equity_krx
133690.KS,0.08529060026213339,ETF_Only_Core,TIGER 미국나스닥100,us_equity_krx
148070.KS,0.0732898793093119,ETF_Only_Core,KOSEF 국고채10년,bond
SCHD,0.07194494613156982,ETF_Only_Core,미국배당 ETF,us_equity_etf
SPY,0.06081176106304474,ETF_Only_Core,S&P500 ETF,us_equity_etf
QQQ,0.05118779826826784,ETF_Only_Core,Nasdaq100 ETF,us_equity_etf
IWM,0.04791544184783816,ETF_Only_Core,미국소형주 ETF,us_equity_etf
SHY,0.045183468676147594,ETF_Only_Core,미국채1-3년 ETF,cash_usd
261240.KS,0.0448656530479643,ETF_Only_Core,KODEX 미국달러선물,cash_usd
IEF,0.040051507333806115,ETF_Only_Core,미국채7-10년 ETF,bond
411060.KS,0.040029593341451265,ETF_Only_Core,ACE KRX금현물,gold
GLD,0.03519942832463059,ETF_Only_Core,금 ETF,gold
TLT,0.03301374703440383,ETF_Only_Core,미국채20년+ ETF,bond
069500.KS,0.021071945861506944,ETF_Only_Core,KODEX 200,kr_equity_etf
229200.KS,0.0207222661475597,ETF_Only_Core,KODEX 코스닥150,kr_equity_etf
360750.KS,0.1270345836800589,Regime_Overlay,TIGER 미국S&P500,us_equity_krx
458730.KS,0.10932814493635012,Regime_Overlay,TIGER 미국배당다우존스,us_equity_krx
153130.KS,0.09996807797564243,Regime_Overlay,KODEX 단기채권,cash_krw
133690.KS,0.0934062558286963,Regime_Overlay,TIGER 미국나스닥100,us_equity_krx
SCHD,0.07879072281463029,Regime_Overlay,미국배당 ETF,us_equity_etf
SPY,0.06659818190739311,Regime_Overlay,S&P500 ETF,us_equity_etf
148070.KS,0.06449756014649241,Regime_Overlay,KOSEF 국고채10년,bond
QQQ,0.05605847028463541,Regime_Overlay,Nasdaq100 ETF,us_equity_etf
IWM,0.05247473936903726,Regime_Overlay,미국소형주 ETF,us_equity_etf
SHY,0.039762972951119545,Regime_Overlay,미국채1-3년 ETF,cash_usd
261240.KS,0.039483284503172504,Regime_Overlay,KODEX 미국달러선물,cash_usd
IEF,0.03524667426886632,Regime_Overlay,미국채7-10년 ETF,bond
411060.KS,0.03327031203935765,Regime_Overlay,ACE KRX금현물,gold
GLD,0.02925575471072237,Regime_Overlay,금 ETF,gold
TLT,0.029053208370367796,Regime_Overlay,미국채20년+ ETF,bond
069500.KS,0.023077004498726735,Regime_Overlay,KODEX 200,kr_equity_etf
229200.KS,0.02269405171473088,Regime_Overlay,KODEX 코스닥150,kr_equity_etf
