,Core_InvVol_All,ETF_Only_Core,Reject_EW,Reject_InvVol,IC_Gated_RejectInvVol,TopScore_InvVol,EqualWeight_All,BM_KODEX200
2019-02-28,0.004613632203967992,0.011153156964667342,0.0054824225919308705,0.011468831189829394,0.004613632203967992,0.02263779805710832,0.0033279399979156206,-0.007579461200212689
2019-03-31,0.009636877663651152,0.012407208871008886,0.006835621030728084,0.004803184356690776,0.004209539125604406,0.016475444339258762,0.007437403706220142,-0.02187142608886672
2019-04-30,0.037724121950526726,0.024018306080929714,0.05419660204993531,0.041433400562833685,0.041433400562833685,0.041746548791907256,0.05173849185737065,0.028087592785728255
2019-05-31,-0.02924095661803662,-0.009847095128959952,-0.05238221889899222,-0.03152925677564502,-0.03152925677564502,-0.030849307092338355,-0.053638273238441066,-0.07474992140471315
2019-06-30,0.02809818495987405,0.013406975072768789,0.04456570328256912,0.03129495983543032,0.03129495983543032,0.02471349562923452,0.04588554952490773,0.055187019141629046
2019-07-31,0.012349994468947148,0.013693701351341379,-0.010461281905697006,-0.0006909949075660087,-0.0006909949075660087,0.012014714764202348,0.010890270220723208,-0.03919691051972163
2019-08-31,0.011239860081277454,0.0128216511033487,0.0015480512304014145,0.0026675190881411534,0.0026675190881411534,0.016362963945628896,0.005578303422382658,-0.02980849637321281
2019-09-30,0.011456260471973536,0.0028457824245488625,0.03688738834417588,0.022772534327833566,0.022772534327833566,0.01933105664301642,0.022058122152285396,0.06009648704191983
2019-10-31,0.0028759439988369864,-0.0027146146081753215,0.015087616394682426,0.003872968641041142,0.003872968641041142,-0.014680053330329583,0.02012665756367242,0.01092743426381837
2019-11-30,0.018155717169511577,0.013833529586885857,0.0028586963770503007,0.008084793008662276,0.008084793008662276,-0.0004960861180472855,0.02234851693150969,0.0014461209216252158
2019-12-31,0.021992447205373047,0.0074171216374968405,0.04687801590275705,0.029124949751209897,0.029124949751209897,0.05401440003316663,0.0419646714643423,0.07509026312043021
2020-01-31,0.025843315164702427,0.022501436523057017,0.007860584729515653,0.014212678292085121,0.014212678292085121,0.009201422315183519,0.02933846929878352,-0.029095446175189443
2020-02-29,-0.02817981866587501,-0.013722077065768903,-0.03945240589131916,-0.03273551096739486,-0.03273551096739486,-0.031818358263288195,-0.03831442540673037,-0.05802881534208293
2020-03-31,-0.05382292399293452,-0.034502289858697556,-0.09647693996899506,-0.07517562740856457,-0.07517562740856457,-0.0938352549240758,-0.08715895408330232,-0.11419635054350163
2020-04-30,0.07447989867950196,0.04576633161265068,0.09672998957285957,0.07728195509055008,0.07728195509055008,0.0920669609349999,0.11698277250817414,0.08990720078504277
2020-05-31,0.04206235126895018,0.034884015044918525,0.05216774429712864,0.042512429752599196,0.042512429752599196,0.04522962635160274,0.06124820765290708,0.03698678155358759
2020-06-30,0.02572143655595309,0.0032613060184397843,0.05746972289552936,0.03876142664927705,0.03876142664927705,0.12291365782577926,0.04476390227116273,0.048365994562522996
2020-07-31,0.05352269113145109,0.03149268931078385,0.08651417374634922,0.055550877550170186,0.05244746841872594,0.13154672532161996,0.08570385143565638,0.06820936510074183
2020-08-31,0.04251306183902344,0.017662003378053917,0.06763611227480514,0.03886212667276354,0.04251306183902344,0.07033448369652207,0.08424206020459558,0.027230456645032985
2020-09-30,-0.024626337994021537,-0.023604940075288572,-0.02594134794914433,-0.016928008129914855,-0.024626337994021537,-0.018901981907428016,-0.03943374824983478,0.011058572983892345
2020-10-31,-0.0325381097111143,-0.033907545175218295,-0.027236984722398397,-0.027297291160023825,-0.02758780014416553,-0.02238469805623708,-0.03704536420886149,-0.028851885020033885
2020-11-30,0.06975810092081756,0.03978907706271909,0.12981527501405196,0.08639929069325386,0.0686099872044057,0.09242837990836825,0.1154953865017545,0.15079618292472352
2020-12-31,0.03281612619004818,0.02608407953790674,0.06031807523061569,0.044962677952495,0.03281612619004818,0.0780818832211164,0.04996036713383926,0.13882100749188142
2021-01-31,0.025585407494346197,0.01375358793219662,0.024635703433780527,0.023126122294462634,0.025585407494346197,-0.035890107282811376,0.03479449803690421,0.042353652283312115
2021-02-28,0.007456852314116894,0.003289731959216617,0.03840454529592922,0.028855695306695787,0.007456852314116894,0.026838629955610663,0.011658951772567785,0.014103429677418289
2021-03-31,0.026149931002352095,0.019733404194744557,0.014715359535358172,0.016978535489683887,0.026149931002352095,0.004755713164051719,0.0352671762582629,0.011509239026276319
2021-04-30,0.01703701959080714,0.008091376126914527,0.01861001213857662,0.017549640297572618,0.01703701959080714,-0.007464704768689274,0.02555109468591909,0.018326341424214743
2021-05-31,0.017012350132726468,0.010887620789566963,0.023947379235708492,0.015622210643042325,0.017012350132726468,0.08255875441607485,0.024999156106432992,0.010994460723092958
2021-06-30,0.030890290245737615,0.01809327504891718,0.04946241093868274,0.037426922906947664,0.030890290245737615,0.08268662252809086,0.047891451102579176,0.02654351279850231
2021-07-31,0.013774094928626437,0.015348440729238187,0.00951983184231721,0.013712014695812713,0.013774094928626437,0.012763966276675092,0.010485710086655955,-0.030882659184445216
2021-08-31,0.021712431080393883,0.0224253495786809,0.02171210953046879,0.018783788495129735,0.021712431080393883,0.020637723004902322,0.026074429398089873,-0.011768803219910917
2021-09-30,-0.0192468836509385,-0.012702512558994615,-0.02961432626428912,-0.02201447287972936,-0.0192468836509385,-0.037565668866083333,-0.027443215761639137,-0.04263428818822668
2021-10-31,0.015855028705243395,0.006331509984730824,0.01583469085656527,0.008938447168206253,0.015855028705243395,-0.035766941515416664,0.028375741198272682,-0.03200898163680488
2021-11-30,0.010046103636680525,0.014132819883978222,-0.02466536971117657,-0.008939510911081727,0.010046103636680525,-0.05130430993296804,0.002304004316366459,-0.03593045918180582
2021-12-31,0.03053042870500006,0.019500536339290934,0.04239854560075408,0.03747964840969961,0.03637227890424107,0.039341646135440264,0.037754992669968936,0.06518815490291319
2022-01-31,-0.04023120480341024,-0.035601965200381516,-0.08108827140845588,-0.059333562149576934,-0.059333562149576934,-0.0871198013126527,-0.061436039309145894,-0.08930091488266978
2022-02-28,-0.008219685040894006,-0.002817488217570524,-0.006178045459227055,-0.011329546701396348,-0.011329546701396348,0.025032906548423245,-0.007348342386579573,0.009793162706753566
2022-03-31,0.027307437297710915,0.02174169578942483,0.04169618930288706,0.030977676522650106,0.030977676522650106,0.03445401158536445,0.04384158175089846,0.012976567151980811
2022-04-30,-0.012668420718476686,-0.011101201182518717,-0.018439844828957636,-0.008806881030197514,-0.008806881030197514,0.010374142202192186,-0.029808158770451693,-0.02851795455601136
2022-05-31,-0.012558349877639506,-0.021039256646512003,-0.017173336590675464,-0.015829384635089296,-0.015829384635089296,-0.018132453433567314,-0.013204228507635613,-0.001971259826638261
2022-06-30,-0.033393324584842954,-0.01918506944777186,-0.06260095634937382,-0.04137265648490082,-0.04137265648490082,-0.03611825330441049,-0.05010083591343524,-0.12880924345622713
2022-07-31,0.045649968281456586,0.03263342713564006,0.09507082861641716,0.0703650467148405,0.0703650467148405,0.06767426338476634,0.07130633151398151,0.0489069260244408
2022-08-31,0.005413387045890736,0.0035698767646459404,0.009083658140326085,0.009013496149521343,0.009013496149521343,0.012096473339998838,0.008267744278090601,-0.004786341286870388
2022-09-30,-0.04127758107486741,-0.01709369426016172,-0.09019905229389075,-0.05287306755727867,-0.05287306755727867,-0.02958622319129226,-0.0717956497694359,-0.12271169921523062
2022-10-31,0.03336492494274829,0.02348959754534301,0.026054785362257114,0.03307723215840311,0.03307723215840311,0.026505729567423014,0.040014845952610324,0.06656358720116007
2022-11-30,0.007627186741260439,-0.010704286630732618,0.030066114571637825,0.007814992838048046,0.007814992838048046,0.004950736627112666,0.022028280332063645,0.07041554712403109
2022-12-31,-0.06959268103661873,-0.04933657209346196,-0.0975365994831487,-0.07245151556621424,-0.07067276428132936,-0.055424201695375076,-0.0944379266875426,-0.0773187308876534
2023-01-31,0.06355145496249393,0.03120611820392098,0.11288993045854506,0.07734671310046763,0.06355145496249393,0.033483501040084435,0.09172968031187548,0.08895653150528049
2023-02-28,0.026028562753275128,0.031023310624331488,0.05698663748627447,0.03828611676452737,0.026028562753275128,0.06799520528384717,0.04083949496881807,-0.007774760116024182
2023-03-31,0.027468487797006225,0.02371094384890813,0.019708365283698365,0.01345403218147946,0.012880173423359387,0.021552224499424052,0.038380507971096815,0.024604216601465945
2023-04-30,0.032701342662829834,0.02633116779426369,0.02782171759680078,0.02752439941010003,0.03170932044275899,0.010804052511395785,0.03533497663134242,0.011697908512773969
2023-05-31,0.022219321707670537,-0.0007983727609594624,0.0533284337861311,0.028452829573156393,0.027909348385541467,0.007505583682427978,0.04199271762957619,0.041225915803456026
2023-06-30,0.025164243394302326,0.01728585593177236,0.02725619692447474,0.01693485079428407,0.01693485079428407,0.011123140456114813,0.04118631481852165,-0.00029437283939337533
2023-07-31,0.0012198979155698302,-0.00046886374738338166,0.013525308640377588,0.004699394622675658,0.004699394622675658,0.01382694624210366,0.0076748300460964605,0.015312137707567786
2023-08-31,0.013675437166657102,0.01740395312889701,-0.011081264685946045,0.001405595058641427,0.001405595058641427,0.006995750114941171,0.008591019581054604,-0.02624717158562262
2023-09-30,-0.020642048954113867,-0.020001300495584705,-0.0404634100081721,-0.024217836076009643,-0.024217836076009643,-0.03150317015080927,-0.03270337174620127,-0.020848708849351416
2023-10-31,-0.02714067465850148,-0.016327385625271643,-0.059502214324105,-0.03972876387823687,-0.03972876387823687,-0.05159102355577042,-0.043347736880415454,-0.06436368032055606
2023-11-30,0.0489579994094345,0.024850752416351388,0.07903122071234304,0.053615692920729645,0.053615692920729645,0.05760052139958636,0.07224777622178573,0.10746897393499766
2023-12-31,0.048548395044248786,0.03907116928727454,0.055516976480655164,0.05211017772937249,0.05211017772937249,0.03803040244718319,0.05184808513700572,0.0652335833203912
2024-01-31,0.02589363584986559,0.024971638594372788,-0.014511115028948285,0.006045909261713668,0.006045909261713668,-0.04767070221182644,0.01672183375741956,-0.06208541998908812
2024-02-29,0.049324003838052514,0.019033640847176375,0.06593147160636495,0.04619701858429086,0.04619701858429086,0.045768900247572,0.07167303274840259,0.05926686873268916
2024-03-31,0.0455166351589116,0.05018967429778473,0.04523024261440473,0.03940572421001702,0.03940572421001702,0.046743133362063656,0.04695496809619454,0.059020591044793846
2024-04-30,-0.004683717304958114,-0.00700435917481747,-0.0011810667500623843,-0.00829214669957468,-0.00829214669957468,-0.0061247691921742535,-0.003641335603065022,-0.022505919401174634
2024-05-31,0.01425989162796968,0.014785149038363475,-0.00864899769879743,0.0015416254393801775,0.0015416254393801775,-0.01722132868663708,0.014197121265309249,-0.017462578650827565
2024-06-30,0.03574984104198251,0.025223228934844997,0.04715338395406658,0.035099775599225544,0.035099775599225544,0.02254968506995607,0.052006166931104804,0.07039722103488
2024-07-31,0.017804728164512392,0.019300105621957674,0.04016958013226399,0.031554653774958384,0.031554653774958384,0.004265202525019177,0.017018110986185237,-0.006984625006941636
2024-08-31,-0.011436063214385873,-0.016823487689296927,-0.012725874065723185,-0.014145760670205223,-0.014145760670205223,-0.0341093620375986,-0.009217371380697751,-0.04786884732923524
2024-09-30,-0.0046228099667810895,0.0010994140883372246,-0.005810116985938827,-0.007854050714900042,-0.007854050714900042,-0.004856848178267766,-0.004092665292447457,-0.04352618719340462
2024-10-31,0.027414534916707374,0.048155248600789784,-0.0050126183306622605,0.008426337873250653,0.008426337873250653,0.006745888034929938,0.019565633696486305,-0.014911389513284301
2024-11-30,0.029213415349303173,0.022950352985574515,0.027991372747006533,0.02864100660912835,0.02864100660912835,-0.042316149183246186,0.029907067319744417,-0.042394027598775974
2024-12-31,0.023252600155510346,0.019514247503241124,-0.0018147850964119656,0.004245673734935078,0.004245673734935078,0.005765038043636542,0.027495889487585277,-0.01776955951023962
2025-01-31,0.020160041732469706,0.012151655225716968,0.05127372622933091,0.024210205451795527,0.024210205451795527,0.06552579813921502,0.039321232352618196,0.046617993032896266
2025-02-28,0.00499316533337109,0.005645568578613925,0.016398890032465956,0.004343125712108246,0.004343125712108246,0.01969677500436784,0.004094630292901959,0.010016409422912265
2025-03-31,-0.01865352472902226,-0.00992181143004414,-0.023476547021684845,-0.016844269542399582,-0.016844269542399582,-0.028972671492588614,-0.03179991446208963,0.002516201357262604
2025-04-30,-0.004802969339153063,-0.019986381924072406,0.014104499464584168,-0.005314783605854576,-0.005314783605854576,-0.0012695186455722871,0.009815288428274714,0.01479663551622834
2025-05-31,0.012848617037355573,-0.0030894884609782756,0.03608532540541169,0.020815950265928383,0.020815950265928383,0.02172523872293005,0.031194221083470086,0.06497711936258077
2025-06-30,0.05110539555828881,0.026023449065574925,0.09054763468148135,0.06628546431035924,0.06628546431035924,0.05246929726332116,0.07687444281194668,0.15384628006149725
2025-07-31,0.05138279269115856,0.032176447417881004,0.06780770052211176,0.053177449613377975,0.0504837793731709,0.04486350248731968,0.07089190589780048,0.057603999874861644
2025-08-31,0.00341089808815307,0.013703842224885153,-0.004282681071052505,0.00034007419591924296,0.0002898393347129497,0.0011409691203878183,-0.0011801128507770223,-0.016505443370339545
2025-09-30,0.04641639378759608,0.04887484461436078,0.0454935242768012,0.03255001966723319,0.03255001966723319,0.04768214662309571,0.06234791126761169,0.10266207381053039
2025-10-31,0.07244030816876523,0.0362972066200382,0.1538672385457129,0.08899767314284752,0.08899767314284752,0.0845496357177789,0.1272737230511958,0.2236213086694132
2025-11-30,0.010694415326503563,0.025923588046254244,-0.007914771989233665,0.008196428850083209,0.008196428850083209,0.015585429447553778,-0.00502643963007933,-0.04290994843832219
2025-12-31,-0.002516122662206861,-0.006249022846831762,-0.004850942244075908,-0.004387471824377599,-0.004387471824377599,-0.007545614277039785,0.004293925698207965,0.09424983344987203
2026-01-31,0.05497621567778773,0.04935653142311489,0.10190369947121586,0.06116698843136918,0.06116698843136918,0.08384366267173902,0.10256670306288734,0.27081484724657745
2026-02-28,0.03293171655057778,0.02366815583928109,0.05469265497210955,0.03546441313523349,0.03546441313523349,0.025579211241022432,0.054804483864413306,0.21751499688109543
2026-03-31,-0.024347884667684935,-0.003278387925825048,-0.06219518488767404,-0.02254134902354816,-0.02254134902354816,0.010580984374368394,-0.06242192618283049,-0.19857625503147325
2026-04-30,0.07176634275149486,0.04465085996929133,0.10562287637004128,0.05980148604392201,0.05980148604392201,0.047230095081129735,0.13595877359024974,0.33036518502690004
2026-05-31,0.0426726873130002,0.04596512912020798,0.03211485233142206,0.03254330330820722,0.03254330330820722,0.04482726129110017,0.07141470167147128,0.34943196036234414
