,pi_ann%,mu_bl_ann%,weight,name,asset_class
069500.KS,13.99333878537762,11.201414473552806,0.09828235191290843,KODEX 200,kr_equity_etf
229200.KS,11.32655110673342,11.492599728400407,0.02595352724576092,KODEX 코스닥150,kr_equity_etf
360750.KS,5.50896627237642,2.827598809071793,0.0,TIGER 미국S&P500,us_equity_krx
133690.KS,7.3758365554729,4.157387035170481,6.713244326758683e-17,TIGER 미국나스닥100,us_equity_krx
458730.KS,3.5077129974118617,1.130645520183139,0.0,TIGER 미국배당다우존스,us_equity_krx
411060.KS,3.0748758901782387,6.534683147577644,0.18522006025049065,ACE KRX금현물,gold
261240.KS,1.1230649266016584,-2.3289927288613366,1.181610961419749e-19,KODEX 미국달러선물,cash_usd
153130.KS,2.0888366054943113,2.8526115926381874,0.11477993974950935,KODEX 단기채권,cash_krw
148070.KS,2.924587169422009,6.130551466479054,0.19999999999999993,KOSEF 국고채10년,bond
TLT,3.6434470880460617,0.3322612845151658,1.7361210803397767e-17,미국채20년+ ETF,bond
000660.KS,23.870404195359843,15.04625755064935,0.0,SK하이닉스,kr_stock
005930.KS,16.02177791091438,11.041404754415016,7.291683126438644e-18,삼성전자,kr_stock
005380.KS,17.123305623368854,12.99885446218602,0.01444513731216668,현대차,kr_stock
006400.KS,20.180058466963054,1.7608585744859209,5.3221621174829453e-17,삼성SDI,kr_stock
034020.KS,16.512784283134636,15.82618939725083,0.02296484459103114,두산에너빌리티,kr_stock
AMD,20.65892509529495,8.09621590788265,1.6008922703106276e-18,AMD,us_stock
GOOGL,8.827678557146726,6.357751743230914,0.03924369401111465,알파벳,us_stock
XOM,2.092115065144758,-5.812970616200343,1.1744111813680874e-17,엑슨모빌,us_stock
AAPL,6.1781701221680025,-2.569035365946951,3.167479706257456e-17,애플,us_stock
NVDA,12.825781031279451,13.058801365912686,0.0947668114449032,엔비디아,us_stock
012450.KS,10.171331962893158,17.701013763201,0.09440252593984917,한화에어로스페이스,kr_stock
042660.KS,11.484365354721604,19.941506952624195,0.10994110754226592,한화오션,kr_stock
