,mom_12_1,mom_6,vol_60,mdd_12m,name,asset_class,currency,selected_as
SPY,0.3547681805434144,0.07927002511144399,0.2116489486532918,-0.06450722600706094,S&P500 ETF,us_equity_etf,USD,etf
QQQ,0.46877386081911854,0.13673136100084182,0.2688593862518859,-0.08691497188204333,Nasdaq100 ETF,us_equity_etf,USD,etf
SCHD,0.3520503426306214,0.16383494304316182,0.17592851938326412,-0.044912182619049945,미국배당 ETF,us_equity_etf,USD,etf
IWM,0.4731887458833519,0.1344599443532326,0.27470329726081844,-0.08648151708268925,미국소형주 ETF,us_equity_etf,USD,etf
GLD,0.4924604884647952,0.11910308410346682,0.30772140089663136,-0.1570586835998764,금 ETF,gold,USD,etf
IEF,0.1291572433939303,-0.008711567825246291,0.1498943029746523,-0.04828853341677375,미국채7-10년 ETF,bond,USD,etf
SHY,0.1157088386980234,0.0006188483122573363,0.13217527441167878,-0.045542534475472296,미국채1-3년 ETF,cash_usd,USD,etf
TLT,0.12624824204431095,-0.015615879595333837,0.17531920506510792,-0.058436120736154895,미국채20년+ ETF,bond,USD,etf
069500.KS,2.5239150926255487,1.1610146527533773,0.597170626656333,-0.2062088659082597,KODEX 200,kr_equity_etf,KRW,etf
229200.KS,0.600106468925,0.24381120148462143,0.5016778291440803,-0.25063097963800507,KODEX 코스닥150,kr_equity_etf,KRW,etf
360750.KS,0.35783802970640455,0.09268605075090441,0.1150407523935537,-0.05687867582003969,TIGER 미국S&P500,us_equity_krx,KRW,etf
133690.KS,0.47769004456288755,0.16054575891763667,0.15728173602917225,-0.07370005363174781,TIGER 미국나스닥100,us_equity_krx,KRW,etf
411060.KS,0.45605355182990115,0.08992586500446897,0.2715788637318712,-0.24716283979941933,ACE KRX금현물,gold,KRW,etf
261240.KS,0.11122247111558892,0.01734536049702995,0.12239552256792272,-0.04888178913738017,KODEX 미국달러선물,cash_usd,KRW,etf
153130.KS,0.020153098627169852,0.009677430596697567,0.002182938257236728,-0.0003975791845208798,KODEX 단기채권,cash_krw,KRW,etf
148070.KS,-0.06224999881769888,-0.027266369807074642,0.07833499760825771,-0.09256776595806637,KOSEF 국고채10년,bond,KRW,etf
458730.KS,0.3446323611568829,0.16916080315505022,0.12174251955786045,-0.035211242120896546,TIGER 미국배당다우존스,us_equity_krx,KRW,etf
000660.KS,9.372971942495111,2.37539250551006,0.9299832816464203,-0.265696095684788,SK하이닉스,kr_stock,KRW,stock
005930.KS,4.720884739875062,1.780286955985206,0.7771378267404736,-0.23144005443583227,삼성전자,kr_stock,KRW,stock
005380.KS,2.5894471611408445,1.4392323447366469,0.6983103485937199,-0.33902072435613273,현대차,kr_stock,KRW,stock
006400.KS,2.4044451015178394,1.2426229508196722,0.7429791818218102,-0.2935393258426966,삼성SDI,kr_stock,KRW,stock
034020.KS,1.4473029811097995,0.7066666666666668,0.6369164428879699,-0.3709677419354839,두산에너빌리티,kr_stock,KRW,stock
AMD,3.308984493522324,1.0590658817355423,0.8085146399960216,-0.27019466503746814,AMD,us_stock,USD,stock
GOOGL,1.3517936268072215,0.23019967834010013,0.40778789096164947,-0.17166382087103937,알파벳,us_stock,USD,stock
XOM,0.5981002224992211,0.28923021485752676,0.3536410562318391,-0.18609944770579412,엑슨모빌,us_stock,USD,stock
AAPL,0.5896292668159147,0.04710666221747184,0.2738712020052434,-0.13737667127116726,애플,us_stock,USD,stock
NVDA,0.6499080821836362,0.17366185252622168,0.43104176921546283,-0.15685235161406075,엔비디아,us_stock,USD,stock
